timestamp,device,state,reason
2025-12-09 16:37:18,filtration_unit,ON,Auto: Dust level 1560.1 > 1000 µg/m³
2025-12-09 17:45:22,filtration_unit,ON,Auto: Dust level 1816.1 > 1000 µg/m³
